id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
71557,,,,14.68372100,-36.13485800,5.670,-0.081,189.753300,-116.955768,-99.030673,-111.895089,Ap Si,Cen
71569,30Zet Boo,,30Zet Boo,14.68582000,13.72830000,3.780,0.044,53.879300,-39.925583,-33.844144,12.786515,A3IVn,Boo
71606,31    Boo,,31    Boo,14.69409700,8.16176400,4.860,0.992,164.744600,-124.167279,-105.717469,23.388495,G8IIIvar,Boo
71611,32    Boo,,32    Boo,14.69542300,11.66066200,5.550,0.941,123.609400,-92.147476,-78.510587,24.983265,G8III,Boo
71634,Uridim,Uridim,Alp Lup,14.69882300,-47.38820000,2.300,-0.154,142.450100,-73.354913,-62.611867,-104.837277,B1.5III,Lup
71639,,,,14.69933200,-37.79349800,4.010,-0.157,103.950100,-62.472079,-53.337270,-63.702434,B2.5V,Cen
71682,Xami,Xami,Alp Cir,14.70849200,-64.97513800,3.180,0.256,16.570000,-5.319852,-4.563974,-15.014538,F1Vp,Cir
71731,107Mu  Vir,,107Mu  Vir,14.71767300,-5.65820700,3.870,0.385,18.271500,-13.771311,-11.872446,-1.801463,F2III,Vir
71748,4    Lib,,4    Lib,14.72043100,-24.99775300,5.700,0.006,152.439000,-104.575605,-90.287833,-64.418072,B9.5V,Lib
71769,34    Boo,,34    Boo,14.72371200,26.52785000,4.800,1.672,215.982700,-146.161613,-126.411397,96.464975,M3III,Boo
71783,,,,14.72762400,-35.17365500,4.060,1.356,64.226100,-39.672777,-34.383013,-36.997668,K3III,Cen
71786,,,,14.72901000,40.45925400,5.720,1.398,209.643600,-120.502951,-104.512369,136.039300,K4III,Boo
71878,,,,14.74977800,-35.19182600,4.920,0.013,65.703000,-40.371520,-35.400729,-37.865647,A0V,Cen
71879,Izar,Izar,36Eps Boo,14.74978400,27.07422200,2.350,0.966,62.111800,-41.582771,-36.462926,28.269741,A0,Boo
71899,35Omi Boo,,35Omi Boo,14.75401700,16.96428000,4.600,0.972,74.515600,-53.536518,-47.049953,21.741799,K0III,Boo
71905,,,,14.75480200,-62.87564800,5.360,0.308,48.449600,-16.589235,-14.585410,-43.121061,A7Vn,Cir
71928,108    Vir,,108    Vir,14.75839000,0.71727100,5.680,-0.021,151.285900,-113.514349,-99.991375,1.893857,B9.5V,Vir
71971,54    Hya,,54    Hya,14.76669100,-25.44318100,5.150,0.315,30.284700,-20.481798,-18.120976,-13.010710,F0V + G/K,Hya
71982,,,,14.76831900,15.13178800,5.780,1.335,247.524800,-178.888815,-158.405401,64.613851,M5III,Boo
71984,,,,14.76854700,-23.15301800,5.800,0.980,103.734400,-71.403895,-63.235516,-40.787155,K0III,Lib
71994,109    Vir,,109    Vir,14.77081200,1.89288500,3.730,-0.005,41.237100,-30.838211,-27.343068,1.362104,A0V,Vir
72024,,,,14.77472400,-47.44111600,5.740,0.066,93.720700,-47.385916,-42.101967,-69.032967,A1V,Lup
72064,,,,14.78369400,-52.38351800,5.220,0.984,79.681300,-36.281606,-32.388704,-63.116532,G6III,Lup
72070,,,,14.78474700,-38.29063900,5.900,1.336,153.609800,-89.918776,-80.315485,-95.184663,K3III,Cen
72097,55    Hya,,55    Hya,14.78959900,-25.62426700,5.610,-0.043,227.790400,-153.005913,-137.014548,-98.511914,B9IV/V,Hya
72131,56    Hya,,56    Hya,14.79577900,-26.08750000,5.230,0.938,109.769500,-73.336943,-65.886289,-48.270392,G8/K0III,Hya
72144,Paradys,Paradys,Alp Aps,14.79770100,-79.04475100,3.830,1.433,136.986300,-19.356924,-17.407930,-134.489842,K5III,Aps
72152,57    Hya,,57    Hya,14.79932200,-26.64615500,5.760,-0.007,137.174200,-91.128156,-82.022855,-61.519804,B9.5V,Hya
72206,,,,14.81056900,-36.63469700,5.890,1.369,157.728700,-93.825649,-84.952246,-94.118658,M5III,Cen
72212,,,,14.81237700,-66.59356300,5.910,-0.106,431.034500,-126.876046,-114.986184,-395.564828,B2.5V,Cir
72261,Merga,Merga,38    Boo,14.82185300,46.11620500,5.760,0.482,48.995600,-25.109461,-22.870123,35.313409,F7IVw,Boo
72262,,,,14.82187400,-24.25147000,5.680,1.275,310.559000,-209.334837,-190.667828,-127.559608,K3III+...,Lib
72263,7Mu  Lib,,7Mu  Lib,14.82195900,-14.14902200,5.320,0.066,72.939500,-52.287263,-47.626783,-17.829668,Ap,Lib
72298,39    Boo,,39    Boo,14.82814300,48.72080400,5.680,0.501,68.587100,-33.402396,-30.524166,51.543246,F6V+...,Boo
